,appln_id,appln_abstract_lg,appln_abstract
0,35952582,en,"PROBLEM TO BE SOLVED: To eliminate trouble that produced ozone amount gets large in a corona discharge system and trouble that an image forming device is hardly miniaturized in a system where a transfer belt is used and a transfer brush applying a current to the transfer belt in accordance with the film thickness of a photoreceptor is moved in a recording material carrying direction. SOLUTION: This device is provided with an adjusting means consisting of a shaft 11 and an eccentric cam 12 adjusting the transfer performance of a toner image to recording paper by varying an opposed space between a photoreceptor drum 1 and a transfer means 5. The shaft 11 is driven to rotate the cam 12 in accordance with processing speed corresponding to a copying mode, whereby the opposed space between the drum 1 and the means 5 is varied so as to adjust the transfer performance to the one in accordance with the processing speed."
1,35952583,en,"PURPOSE:To obtain invariably stable transfer characteristics by varying the input to a high voltage member which applies a voltage to the electrostatic charger of an image forming device according to environmental humidity. CONSTITUTION:The output of a high-voltage transformer 3 which applies the voltage to the electrostatic charger 2 is varied automatically by variation in corona discharging efficiency with the environmental humidity. No special humidity detecting means is therefore necessary to detect the humidity and the output of the high-voltage transformer 3 which applies the high voltage to the electrostatic charging line of the electrostatic charger 2 is controllable. Consequently, invariably stable transfer characteristics are obtained regardless of the environmental humidity and an image of good quality is obtained."
2,35952584,en,"PURPOSE:To test acceleration in a state close to practical use by generating a test clock according to an external logic level. CONSTITUTION:A test clock generating circuit 1 consists of a NAND circuit 2 and inverters 3 and 4 and the logic level which is supplied to an input terminal 6 from the outside is inputted to generate a test clock. A selecting circuit 5 selects and outputs the test clock to be inputted to an input terminal B when a high logic level is inputted to a selection signal input terminal S or a clock to be inputted to an input terminal B when a low logic level is inputted. At the time of the BT screening of a CMOS circuit 10, the input and output terminals go up to the high level. Therefore, the high level is only inputted to the terminal 6 to generate the test clock and the circuit 10 is put in operation. Further, when the low level is inputted to the terminal 6, a normal use mode is entered."
3,35952585,en,"PURPOSE:To provide the subject composition containing a fluorine-containing polymer, a polyamide resin, etc., and water-dispersible resin, having excellent safety, profitability and uniform coatability to an article having complicate shape and giving a coating film having excellent abrasion resistance. CONSTITUTION:The objective composition is produced by dissolving, dispersing or suspending (A) a fluorine-containing polymer (preferably polytetrafluoro- ethylene resin) and (B) a polyamide resin and/or an engineering plastic having a softening point of >=150 deg.C (preferably wholly aromatic polyester resin) in (C) a water-dispersible resin (preferably a water-dispersible basic resin containing 30-200m-mol of basic group per 100g of solid component). Preferably, the compounding ratios of the components A, B and C are 10-25wt.%, 3-25wt.% and 50-94wt.% respectively."
4,35952586,en,"PURPOSE:To improve the steering stability of a vehicle by lowering the value of vehicle height, detecting the carrying load of the vehicle, and changing the criteria value of a vehicle speed corresponding to a load detected value when the detected value of the vehicle speed is over a changeable criteria value. CONSTITUTION:An actuator A is disposed between a wheel and a vehicle body to change a stroke between a spring upper and a spring lower thereby. The actuator A is driven by a driving means C corresponding to a vehicle speed detected by a detection means B. In the above device, the driving means C is controlled by a controlling means D to lower the value of vehicle height when the detected value of the vehicle speed is over a changeable criteria value. Meantime, the carrying load of the vehicle is detected by a means E. The criteria value of the above mentioned vehicle speed is changed by a means F corresponding to the detected valve of the load. The timing of the lowering of the vehicle height is thereby conducted quickly to improve steering stability in a vehicle such as a one-box type car, etc. upon a large loading high speed traveling, etc."
5,35952587,en,"PURPOSE:To permit a user to know the waiting time for object discharged from a storage by introducing such an arrangement that a transport means travels to a certain object accommodation part as specified by a discharge command and transports therefrom the applicable object to a discharge port, therein calculating the waiting time for object being transported and discharged, and displaying the time. CONSTITUTION:A management device 4 is equipped with a control part H, which specifies the accommodation space S2 for storage and discharge of objects and operates an elevator 3, revolving device 9, etc., on the basis of various pieces of input information, the set data in a memory 4G, etc. This control part H determines the waiting time T for object discharge, i.e., the time in which the elevator 3 travels to a certain accommodation space as specified by a discharge command and a cart is transported from the specified accommodation space to the storage/discharge port, and this waiting time obtained is displayed in a setting display part 4A. Thus the user can know the waiting time to relieve his becoming nervous during the time until his object is discharged from storage."
6,35952588,en,"PURPOSE:To provide an electrophotographic sensitive body with high sensitivity and durability. CONSTITUTION:A photosensitive layer containing an azo compound expressed by the formula I is formed on a conductive base member. In the formula I, A represents a coupler residue having acceptor properties."
7,35952589,en,"PURPOSE:To provide a luminaire fitting device capable of increasing the allowable load and having a smart adapter shape. CONSTITUTION:A luminaire fitting device is provided with a hook rosette 2 fixed to the ceiling 1, an adapter 4 having a hook plug 3 connected to the hook rosette 2, and a luminaire fitted to the adapter 4 and receiving electric power. The inner diameter of a recess 6 on the upper face of the adapter 4 is set slightly larger than the maximum lateral width of the hook plug 3, the adapter 4 is rotatably guided on the inside of the recess 6 against the outside of the hook plug 3, and the hook plug 3 is extracted by a cord 7 at the recess 6. Lug pieces 9 are fixed on the ceiling 1, and projection pieces 10 protruded to the outside at the upper end of the adapter 4 are supported by the lug pieces 9 when the adapter 4 is rotatably guided on the inside of the recess 6 against the outside of the hook plug 3."
8,35952590,en,"PURPOSE:To provide an automatic vending machine in which number of inventory commodities is simply and accurately confirmed. CONSTITUTION:The automatic vending machine 10 has a microcomputer 26 in its inside and an operation box 28 having a ten-key and various function setting keys is connected to the microcomputer 26 via an I/O port 38. A display section 29 is provided on the operation box 28. Furthermore, a position sensor 51 provided on each column 12 is connected respectively to the microcomputer 26. Both upper and lower ends of each column 12 are open and the position sensor 51 is arranged to the upper opening of each column 12. The position sensor 51 emits an ultrasonic wave or an infrared ray or the like, for example, to sense a distance L1 between the position sensor 51 and a commodity at the uppermost part of commodities 52 stacked in the column 12."
9,35952591,en,"PURPOSE: To provide the frequency correction method of a digital control type oscillation circuit for improving frequency accuracy by dividing the control voltage of a varactor diode used for temperature compensation into plural sections and controlling it. CONSTITUTION: In this frequency correction method of the digital control type oscillation circuit 60 for correcting the change of the resonance frequency of a crystal oscillator due to temperature change by adjusting the control voltage of the varactor diode and outputting a fixed frequency, frequency deviation characteristics for the control voltage of the varactor diode are divided into appropriate plural control sections beforehand, the frequency deviations of the respective control sections are expressed by the linear expression of the control voltage and respective linear coefficients and the temperature characteristics of the crystal oscillator are stored in a memory 67. The frequency deviation is calculated from the temperature characteristics of the crystal oscillator corresponding to a temperature detected by a temperature sensor 62, the control voltage of the varactor diode is obtained and outputted by using the linear coefficient of the corresponding control section and thus, an output frequency is controlled to a prescribed fixed frequency."
